"id","pair","status","A0","ATF","start","zij"
1,1,0,0,4.8,0,1
1,1,0,0,4.8,1.6,1.55
1,1,0,0,4.8,3.2,1.31
2,1,0,0,9.4,0,0.72
2,1,0,0,9.4,2.4,0.79
2,1,0,0,9.4,4.7,0.68
2,1,0,0,9.4,7.1,0.83
3,2,0,0,12.4,0,1.03
3,2,0,0,12.4,4.1,1.24
3,2,0,0,12.4,8.3,1.37
4,2,0,2,2.4,0,0.83
4,2,0,2,2.4,0.5,1.07
4,2,0,2,2.4,1,0.94
4,2,0,2,2.4,1.4,0.93
4,2,0,2,2.4,1.9,1
5,3,0,1,9,0,0.67
5,3,0,1,9,2.2,0.83
5,3,0,1,9,4.5,0.82
5,3,0,1,9,6.8,0.93
6,3,0,1,12.7,0,0.65
6,3,0,1,12.7,4.2,0.89
6,3,0,1,12.7,8.5,1.02
7,4,1,0,0.2,0,0.88
7,4,1,0,0.2,0.1,1.04
7,4,1,0,0.2,0.1,0.86
8,4,0,4,6.3,0,1.16
8,4,0,4,6.3,1.3,0.73
8,4,0,4,6.3,2.5,0.94
8,4,0,4,6.3,3.8,0.83
8,4,0,4,6.3,5,0.5
9,5,0,3,5,0,1.05
9,5,0,3,5,1.2,1.11
9,5,0,3,5,2.5,0.86
9,5,0,3,5,3.8,0.88
10,5,0,0,6,0,0.45
10,5,0,0,6,2,1.24
10,5,0,0,6,4,0.81
11,6,1,0,10.7,0,0.9
11,6,1,0,10.7,2.7,1.1
11,6,1,0,10.7,5.3,1.07
11,6,1,0,10.7,8,0.96
12,6,0,0,15,0,0.93
12,6,0,0,15,3.8,0.62
12,6,0,0,15,7.5,1.11
12,6,0,0,15,11.2,0.95
13,7,0,0,6.2,0,0.62
13,7,0,0,6.2,1.2,0.73
13,7,0,0,6.2,2.5,0.58
13,7,0,0,6.2,3.7,0.7
13,7,0,0,6.2,5,0.96
14,7,1,4,11.9,0,0.99
14,7,1,4,11.9,4,0.77
14,7,1,4,11.9,7.9,1.26
15,8,0,0,2.1,0,1.06
15,8,0,0,2.1,0.4,0.76
15,8,0,0,2.1,0.8,1.1
15,8,0,0,2.1,1.3,1
15,8,0,0,2.1,1.7,1.06
16,8,1,0,4.4,0,1.19
16,8,1,0,4.4,2.2,1.01
17,9,1,0,4.9,0,1.19
17,9,1,0,4.9,1.6,1.16
17,9,1,0,4.9,3.3,0.69
18,9,0,0,7.4,0,0.94
